District,Time,Count,DISTRICT NAME,ZIPCODE
8,Early Morning,165895,Chicago Lawn,60629
11,Early Morning,152159,Harrison,60612
7,Night,137241,Englewood,60636
25,Early Morning,135886,Rosemoor,60619
6,Early Morning,134535,Gresham,60620
4,Early Morning,131738,South Chicago,60617
9,Early Morning,123248,Deering,60633
3,Early Morning,122622,Grand Crossing,60637
2,Early Morning,117676,Wentworth,60609
12,Early Morning,116043,Near West,60608
18,Night,110935,Town Hall,60613
19,Early Morning,105441,Lincoln,60625
5,Early Morning,104713,Calumet,60628
10,Early Morning,101304,Ogden,60623
15,Night,100938,Jefferson Park,60630
14,Early Morning,94635,Austin,60644
1,Early Morning,88336,Central,60616
16,Early Morning,82272,Albany Park,60640
22,Early Morning,76969,Grand Central,60639
24,Early Morning,71209,Chrysler Village,60638
17,Early Morning,68688,Near North,60610
20,Early Morning,41462,Morgan Park,60643
31,Night,54,London Towne,60601
21,Early Morning,2,Rogers Park,60626
23,Early Morning,2,Prairie Shores,60653
