District,Count of Homicide,DISTRICT NAME,ZIPCODE
1,35,Central,60616
10,318,Ogden,60623
11,442,Harrison,60612
12,165,Near West,60608
14,97,Austin,60644
15,239,Jefferson Park,60630
16,44,Albany Park,60640
17,67,Near North,60610
18,32,Town Hall,60613
19,70,Lincoln,60625
2,188,Wentworth,60609
20,28,Morgan Park,60643
22,176,Grand Central,60639
24,83,Chrysler Village,60638
25,214,Rosemoor,60619
3,323,Grand Crossing,60637
4,370,South Chicago,60617
5,306,Calumet,60628
6,395,Gresham,60620
7,428,Englewood,60636
8,346,Chicago Lawn,60629
9,306,Deering,60633
