WeekDay,Crime Count,Hour
Friday,48236,0
Monday,48728,0
Saturday,55826,0
Sunday,55037,0
Thursday,46512,0
Tuesday,46471,0
Wednesday,46559,0
Friday,25519,1
Monday,24239,1
Saturday,38773,1
Sunday,39916,1
Thursday,23892,1
Tuesday,22951,1
Wednesday,22973,1
Friday,20956,2
Monday,19086,2
Saturday,35032,2
Sunday,36265,2
Thursday,19063,2
Tuesday,17767,2
Wednesday,17926,2
Friday,16223,3
Monday,14751,3
Saturday,28352,3
Sunday,32301,3
Thursday,14808,3
Tuesday,13531,3
Wednesday,13660,3
Friday,12229,4
Monday,11261,4
Saturday,20687,4
Sunday,23935,4
Thursday,11086,4
Tuesday,10399,4
Wednesday,10314,4
Friday,10844,5
Monday,10488,5
Saturday,14277,5
Sunday,16671,5
Thursday,10044,5
Tuesday,9976,5
Wednesday,9975,5
Friday,14355,6
Monday,13870,6
Saturday,12805,6
Sunday,12923,6
Thursday,14374,6
Tuesday,14196,6
Wednesday,14418,6
Friday,22218,7
Monday,21858,7
Saturday,14755,7
Sunday,12958,7
Thursday,22430,7
Tuesday,23035,7
Wednesday,22725,7
Friday,33112,8
Monday,33124,8
Saturday,21885,8
Sunday,18193,8
Thursday,34181,8
Tuesday,34150,8
Wednesday,34399,8
Friday,41013,9
Monday,40956,9
Saturday,31426,9
Sunday,27075,9
Thursday,41146,9
Tuesday,41270,9
Wednesday,41688,9
Friday,39736,10
Monday,38128,10
Saturday,34795,10
Sunday,30271,10
Thursday,38771,10
Tuesday,38492,10
Wednesday,39065,10
Friday,41747,11
Monday,39366,11
Saturday,36831,11
Sunday,33022,11
Thursday,40817,11
Tuesday,40650,11
Wednesday,40836,11
Friday,53816,12
Monday,51037,12
Saturday,46705,12
Sunday,41079,12
Thursday,52025,12
Tuesday,52498,12
Wednesday,53449,12
Friday,44605,13
Monday,42707,13
Saturday,39020,13
Sunday,34875,13
Thursday,43813,13
Tuesday,44481,13
Wednesday,45158,13
Friday,48175,14
Monday,45405,14
Saturday,40540,14
Sunday,36405,14
Thursday,47475,14
Tuesday,47825,14
Wednesday,48229,14
Friday,51714,15
Monday,47723,15
Saturday,42303,15
Sunday,38816,15
Thursday,49488,15
Tuesday,49064,15
Wednesday,49904,15
Friday,47525,16
Monday,44827,16
Saturday,41017,16
Sunday,38724,16
Thursday,45446,16
Tuesday,46060,16
Wednesday,46098,16
Friday,48597,17
Monday,45599,17
Saturday,41817,17
Sunday,40000,17
Thursday,45466,17
Tuesday,46399,17
Wednesday,46733,17
Friday,52178,18
Monday,49237,18
Saturday,45003,18
Sunday,43411,18
Thursday,48828,18
Tuesday,49959,18
Wednesday,50740,18
Friday,53183,19
Monday,50763,19
Saturday,47265,19
Sunday,45952,19
Thursday,51114,19
Tuesday,52401,19
Wednesday,52881,19
Friday,53051,20
Monday,49827,20
Saturday,48877,20
Sunday,47541,20
Thursday,50928,20
Tuesday,52715,20
Wednesday,52739,20
Friday,53461,21
Monday,48658,21
Saturday,49594,21
Sunday,46783,21
Thursday,49386,21
Tuesday,50737,21
Wednesday,50427,21
Friday,54834,22
Monday,46727,22
Saturday,51906,22
Sunday,46479,22
Thursday,47762,22
Tuesday,48429,22
Wednesday,48141,22
Friday,48172,23
Monday,36808,23
Saturday,47174,23
Sunday,38059,23
Thursday,38497,23
Tuesday,37489,23
Wednesday,37705,23
