Month,Crime Type,Crime Count
April,ARSON,742
August,ARSON,833
December,ARSON,595
February,ARSON,500
January,ARSON,586
July,ARSON,953
June,ARSON,879
March,ARSON,752
May,ARSON,868
November,ARSON,720
October,ARSON,774
September,ARSON,816
April,ASSAULT,28152
August,ASSAULT,32310
December,ASSAULT,22040
February,ASSAULT,21242
January,ASSAULT,22021
July,ASSAULT,33371
June,ASSAULT,33102
March,ASSAULT,27153
May,ASSAULT,34341
November,ASSAULT,24059
October,ASSAULT,29988
September,ASSAULT,31540
April,BATTERY,83686
August,BATTERY,95137
December,BATTERY,68007
February,BATTERY,63231
January,BATTERY,68208
July,BATTERY,101442
June,BATTERY,101466
March,BATTERY,81053
May,BATTERY,101357
November,BATTERY,73492
October,BATTERY,87765
September,BATTERY,90266
April,BURGLARY,24079
August,BURGLARY,32520
December,BURGLARY,27475
February,BURGLARY,18582
January,BURGLARY,23803
July,BURGLARY,31492
June,BURGLARY,28983
March,BURGLARY,22587
May,BURGLARY,28817
November,BURGLARY,28921
October,BURGLARY,31720
September,BURGLARY,31072
April,CONCEALED CARRY LICENSE VIOLATION,6
August,CONCEALED CARRY LICENSE VIOLATION,7
December,CONCEALED CARRY LICENSE VIOLATION,3
February,CONCEALED CARRY LICENSE VIOLATION,6
January,CONCEALED CARRY LICENSE VIOLATION,1
July,CONCEALED CARRY LICENSE VIOLATION,9
June,CONCEALED CARRY LICENSE VIOLATION,11
March,CONCEALED CARRY LICENSE VIOLATION,7
May,CONCEALED CARRY LICENSE VIOLATION,8
November,CONCEALED CARRY LICENSE VIOLATION,3
October,CONCEALED CARRY LICENSE VIOLATION,12
September,CONCEALED CARRY LICENSE VIOLATION,7
April,CRIM SEXUAL ASSAULT,1634
August,CRIM SEXUAL ASSAULT,2113
December,CRIM SEXUAL ASSAULT,1417
February,CRIM SEXUAL ASSAULT,1362
January,CRIM SEXUAL ASSAULT,1840
July,CRIM SEXUAL ASSAULT,2118
June,CRIM SEXUAL ASSAULT,2067
March,CRIM SEXUAL ASSAULT,1591
May,CRIM SEXUAL ASSAULT,1930
November,CRIM SEXUAL ASSAULT,1584
October,CRIM SEXUAL ASSAULT,1876
September,CRIM SEXUAL ASSAULT,1985
April,CRIMINAL DAMAGE,53996
August,CRIMINAL DAMAGE,61297
December,CRIMINAL DAMAGE,44420
February,CRIMINAL DAMAGE,37825
January,CRIMINAL DAMAGE,43059
July,CRIMINAL DAMAGE,62465
June,CRIMINAL DAMAGE,59336
March,CRIMINAL DAMAGE,50461
May,CRIMINAL DAMAGE,60267
November,CRIMINAL DAMAGE,52646
October,CRIMINAL DAMAGE,60398
September,CRIMINAL DAMAGE,56598
April,CRIMINAL TRESPASS,13200
August,CRIMINAL TRESPASS,14635
December,CRIMINAL TRESPASS,11903
February,CRIMINAL TRESPASS,11906
January,CRIMINAL TRESPASS,13363
July,CRIMINAL TRESPASS,14135
June,CRIMINAL TRESPASS,13686
March,CRIMINAL TRESPASS,13679
May,CRIMINAL TRESPASS,14500
November,CRIMINAL TRESPASS,12857
October,CRIMINAL TRESPASS,14457
September,CRIMINAL TRESPASS,13894
April,DECEPTIVE PRACTICE,17141
August,DECEPTIVE PRACTICE,18373
December,DECEPTIVE PRACTICE,16342
February,DECEPTIVE PRACTICE,14454
January,DECEPTIVE PRACTICE,16444
July,DECEPTIVE PRACTICE,17852
June,DECEPTIVE PRACTICE,17800
March,DECEPTIVE PRACTICE,16905
May,DECEPTIVE PRACTICE,17330
November,DECEPTIVE PRACTICE,16081
October,DECEPTIVE PRACTICE,17886
September,DECEPTIVE PRACTICE,17430
April,DOMESTIC VIOLENCE,0
August,DOMESTIC VIOLENCE,0
December,DOMESTIC VIOLENCE,0
February,DOMESTIC VIOLENCE,0
January,DOMESTIC VIOLENCE,0
July,DOMESTIC VIOLENCE,0
June,DOMESTIC VIOLENCE,0
March,DOMESTIC VIOLENCE,0
May,DOMESTIC VIOLENCE,0
November,DOMESTIC VIOLENCE,0
October,DOMESTIC VIOLENCE,0
September,DOMESTIC VIOLENCE,0
April,GAMBLING,1091
August,GAMBLING,2001
December,GAMBLING,292
February,GAMBLING,293
January,GAMBLING,255
July,GAMBLING,1784
June,GAMBLING,1676
March,GAMBLING,601
May,GAMBLING,1481
November,GAMBLING,638
October,GAMBLING,1171
September,GAMBLING,1626
April,HOMICIDE,598
August,HOMICIDE,842
December,HOMICIDE,528
February,HOMICIDE,384
January,HOMICIDE,484
July,HOMICIDE,884
June,HOMICIDE,766
March,HOMICIDE,541
May,HOMICIDE,687
November,HOMICIDE,579
October,HOMICIDE,686
September,HOMICIDE,752
April,HUMAN TRAFFICKING,2
August,HUMAN TRAFFICKING,3
December,HUMAN TRAFFICKING,1
February,HUMAN TRAFFICKING,1
January,HUMAN TRAFFICKING,5
July,HUMAN TRAFFICKING,3
June,HUMAN TRAFFICKING,3
March,HUMAN TRAFFICKING,1
May,HUMAN TRAFFICKING,1
November,HUMAN TRAFFICKING,0
October,HUMAN TRAFFICKING,3
September,HUMAN TRAFFICKING,5
April,INTERFERENCE WITH PUBLIC OFFICER,1005
August,INTERFERENCE WITH PUBLIC OFFICER,1263
December,INTERFERENCE WITH PUBLIC OFFICER,720
February,INTERFERENCE WITH PUBLIC OFFICER,798
January,INTERFERENCE WITH PUBLIC OFFICER,823
